syndicate,year,managing_agent,gross_written_premium,outward_reinsurance_premium,net_written_premium,net_earned_premium,other_technical_income,technical_investment_income,gross_claims_paid,gross_change_in_provision_for_claims,ri_share_claims_paid,ri_share_change_in_provision_for_claims,net_claims_incrred,operating_expenses,balance_on_technical_account,profit_loss_on_exchange,other_non_technical_income,result_before_tax,financial_investments,ri_assets,unearned_premium,other_assets,total_assets,provisions_for_unearned_premium,claims_outstanding,other_liabilities,total_liabilities,currency,unit
1084,2015,Chaucer,838900.0,284900.0,554000.0,657500.0,700.0,13600.0,-469100.0,5300.0,153200.0,-4700.0,-315300.0,-266000.0,90500.0000000001,0.0,700.0,91300.0,924900.0,678700.0,119000.0,519200.0,2241800.0,-431900.0,-1609000.0,,-2241800.0,GBP,1000
1084,2016,Chaucer,780900.0,208500.0,572400.0,591200.0,2400.0,21500.0,-428500.0,-31200.0,154900.0,12200.0,-292500.0,-237100.0,85500.0,57000.0,0.0,142500.0,1104000.0,750600.0,107300.0,625500.0,2587400.0,-454500.0,-1830600.0,,-2587400.0,GBP,1000
1084,2017,Chaucer,950400.0,307000.0,643400.0,647400.0,6000.0,20200.0,-483000.0,-232200.0,158100.0,135800.0,-421300.0,-262200.0,-9899.99999999998,-7000.0,0.0,-16900.0,926700.0,854200.0,138900.0,672500.0,2592300.0,-455800.0,-1962800.0,,-2592300.0,GBP,1000
1084,2018,Chaucer,961500.0,336100.0,625400.0,629300.0,6100.0,11400.0,-568900.0,-129400.0,197200.0,115100.0,-385900.0,-261300.0,-400.000000000034,-17100.0,0.0,-17600.0,871400.0,800000.0,165700.0,768700.0,2605800.0,-495600.0,-1965400.0,,-2605800.0,GBP,1000
1084,2019,Chaucer,1025468.75,317343.75,708125.0,685625.0,8671.875,46718.75,-569140.625,-97187.5,218750.0,62109.375,-385468.75,-270781.25,84765.625,-6093.75,0.0,78750.0,878181.818181818,834772.727272727,149015.151515151,840984.848484848,2702954.54545455,-488333.333333333,-1994242.42424242,,-2702954.54545455,GBP,1000
1084,2020,Chaucer,1162421.875,312500.0,849921.875,761093.75,312.5,42421.875,-521484.375,-125546.875,169921.875,-15703.125,-492734.375,-305312.5,5781.25000000002,-12500.0,0.0,-6796.875,919416.05839416,875182.481751825,149051.094890511,887153.284671533,2830802.91970803,-572116.788321168,-2087810.2189781,,-2830802.91970803,GBP,1000
1084,2021,Chaucer,1274637.68115942,313043.47826087,961594.202898551,884565.217391304,72.463768115942,-6956.52173913044,-489492.753623188,-45724.6376811594,143188.405797101,-61086.9565217391,-453043.47826087,-338043.47826087,86594.2028985507,7536.23188405797,0.0,94130.4347826087,1031259.25925926,818888.888888889,158962.962962963,994814.814814815,3003925.92592593,-649333.333333333,-2140962.96296296,,-3003925.92592593,GBP,1000
1084,2022,Chaucer,1583629.03225806,408225.806451613,1175403.22580645,1134919.35483871,0.0,-74596.7741935484,-518790.322580645,-444919.35483871,255645.161290323,17983.8709677419,-690080.64516129,-381935.483870968,-11693.5483870969,13548.3870967742,0.0,1854.83870967742,1467333.33333333,913250.0,184083.333333333,1290666.66666667,3855333.33333333,-773833.333333333,-2787166.66666667,,-3855333.33333333,GBP,1000
1084,2023,Chaucer,1698951.61290323,394596.774193548,1304354.83870968,1221854.83870968,0.0,93306.4516129032,-652177.419354839,-8225.8064516129,161129.032258065,-83548.3870967742,-582741.935483871,-431854.838709677,300564.516129032,-11612.9032258065,0.0,288951.612903226,1739291.33858268,792755.905511811,184094.488188976,1287716.53543307,4003858.26771653,-844251.968503937,-2683858.26771654,,-4003858.26771653,GBP,1000
1084,2024,Chaucer,1863092.96875,-433808.59375,1429284.375,1345724.21875,0.0,80043.75,-627244.53125,-288158.59375,139614.0625,84279.6875,-691509.375,-459775.78125,274482.8125,-11914.0625,0.0,262568.75,1987864.8,886546.4,213752.8,1378995.2,4467159.2,-970074.4,-2997043.2,-377472.0,-4467159.2,GBP,1000
1084,2025,Chaucer,1818890.37037037,-450171.111111111,1368719.25925926,1299442.22222222,0.0,117697.777777778,-869784.444444444,-17525.9259259259,269088.888888889,-59905.1851851852,-678126.666666667,-468197.777777778,271691.851851852,35574.0740740741,0.0,307265.925925926,2146289.39393939,787764.393939394,218825.757575758,1527489.39393939,4680368.93939394,-1026094.6969697,-2904936.36363636,-337275.0,-4680368.93939394,GBP,1000
1100,2024,Apollo,19367.7966101695,0.0,19367.7966101695,11045.7627118644,0.0,0.0,0.0,-8795.76271186441,0.0,0.0,-8795.76271186441,-1135.59322033898,1114.40677966102,11.864406779661,0.0,1126.27118644068,0.0,0.0,0.0,18150.4132231405,18150.4132231405,-8116.52892561983,-8579.33884297521,-356.198347107438,-18150.4132231405,GBP,1000
1100,2025,Apollo,26940.0,-3600.86956521739,23339.1304347826,21199.1304347826,0.0,186.086956521739,-20.0,-16920.8695652174,0.0,1520.86956521739,-15420.0,-1717.39130434783,4247.82608695652,-796.521739130435,0.0,3451.30434782609,0.0,1494.8717948718,1464.10256410256,39192.3076923077,42151.2820512821,-11942.735042735,-25509.4017094017,-237.606837606838,-42151.2820512821,GBP,1000
1110,2015,ProSight,211509.8,32609.0,178900.8,170423.3,0.0,964.5,-54194.2,-64993.4,3276.8,7353.9,-108556.9,-65608.9,-2778.0,0.0,-467.3,-3245.3,172092.2,18650.2,23584.6,92149.7,306476.7,-106259.9,-172629.3,,-306476.7,GBP,1000
1110,2016,ProSight,245024.1,15887.9,229136.2,209114.5,0.0,2260.5,-98085.2,-70190.7,11528.4,13244.3,-143503.3,-83226.7,-15355.0,2956.7,0.0,-12398.4,224951.0,36266.8,12119.6,136709.0,410046.4,-127264.3,-275499.9,,-410046.4,GBP,1000
1110,2017,Coverys,22573.9,58302.0,-35728.1,69561.5,0.0,3707.6,-243575.2,153467.9,33674.0,28821.3,-27612.0,-49613.3,-3956.2,-1710.6,0.0,-5666.8,32488.0,60403.0,3952.9,52541.8,149385.7,-10584.1,-111035.0,,-149385.7,GBP,1000
1110,2019,Coverys,60234.4,258.5,59975.9,58659.2,0.0,1232.7,-29085.4,-47124.7,15136.4,3161.1,-57912.5,-1715.1,264.299999999994,-455.6,0.0,-191.3,11967.9,62223.0,0.0,75334.6,149525.5,-1316.7,-133771.0,,-149525.5,GBP,1000
1110,2020,R&Q,114132.9,721.299999999988,113411.6,114720.8,0.0,2573.8,-47894.9,-71237.5,16123.4,-2676.2,-105685.1,-5488.3,6121.2,-255.1,0.0,5866.1,97172.4,60260.8,0.0,85201.1,242634.3,-7.5,-206415.0,,-242634.3,GBP,1000
1110,2022,R&Q,333442.2,249826.4,83615.8,83615.8,0.0,-7510.3,-99705.6,-254099.4,68593.5,218737.9,-66473.6,-7874.5,1757.39999999999,-3839.2,0.0,-2081.8,278212.6,274249.4,0.0,211788.4,764250.4,0.0,-489603.4,,-764250.4,GBP,1000
1110,2024,Polo,1632.0,-907.0,725.0,725.0,0.0,5914.0,-123506.0,39638.0,78452.0,-31904.0,-37320.0,-22535.0,-53216.0,-1267.0,0.0,-54483.0,224793.0,217617.0,0.0,40803.0,483213.0,0.0,-433957.0,-127596.0,-483213.0,GBP,1000
1110,2025,Polo,278.0,-1144.0,-866.0,-866.0,0.0,5724.0,-99099.0,76816.0,54013.0,-37457.0,-5727.0,-9781.0,-10650.0,3169.0,0.0,-7481.0,128520.0,169281.0,0.0,30255.0,328056.0,0.0,-333792.0,-79996.0,-328056.0,GBP,1000
1176,2015,Chaucer,26610.0,0.0,26610.0,24113.9,0.0,427.9,-1315.6,469.5,0.0,0.0,-846.1,-6922.8,16772.9,0.0,306.6,17079.5,39793.3,0.0,0.0,38289.4,78082.7,-16104.7,-34661.8,,-78082.7,GBP,1000
1176,2016,Chaucer,28320.8,67.5,28253.3,27627.4,0.0,1117.6,-710.1,-10259.2,0.0,11.8,-10957.5,-6109.6,11677.9,2000.1,0.0,13678.0,42978.1,12.1,34.5,43181.1,86205.8,-18119.6,-45337.2,,-86205.8,GBP,1000
1176,2017,Chaucer,31452.4,0.0,31452.4,31519.6,0.0,333.0,-669.4,-1648.7,0.0,0.9,-2317.2,-8337.8,21197.6,-698.4,0.0,20499.2,59152.1,11.3,0.0,35337.2,94500.6,-17253.1,-46840.2,,-94500.6,GBP,1000
1176,2018,Chaucer,29140.8,-43.1000000000022,29183.9,29636.1,0.0,127.0,-8239.7,7474.4,0.0,-19.1,-784.4,-8299.4,20679.3,860.3,0.0,21539.7,48585.1,1.2,0.0,40169.8,88756.1,-17095.5,-39660.5,,-88756.1,GBP,1000
1176,2019,Chaucer,28080.7,302.5,27778.2,28835.0,0.0,1416.5,-2914.7,3529.7,0.0,48.8,663.7,-8653.5,22261.7,-190.1,0.0,22071.6,47375.6,45.6,155.0,39356.0,86932.2,-16129.0,-35941.4,,-86932.2,GBP,1000
1176,2020,Chaucer,29370.3,578.299999999999,28792.0,28004.6,0.0,1412.6,-521.9,-2552.8,0.0,167.7,-2907.1,-7953.5,18556.6,67.9,0.0,18624.5,54573.8,215.3,243.0,31109.0,86141.1,-16558.1,-38419.2,,-86141.1,GBP,1000
1176,2021,Chaucer,26309.6,606.099999999999,25703.5,26694.7,0.0,-400.4,-61.0,881.6,0.0,117.6,938.2,-7813.8,19418.7,-502.7,0.0,18916.0,38726.0,332.9,205.9,44359.7,83624.5,-15652.0,-37581.8,,-83624.5,GBP,1000
1176,2022,Chaucer,28116.2,565.200000000001,27551.0,29320.8,0.0,-1742.9,226.7,-933.2,0.0,46.6,-659.9,-8902.3,18015.7,1551.8,0.0,19567.4,30180.2,379.5,190.8,53206.1,83956.6,-14739.3,-38645.4,,-83956.6,GBP,1000
1176,2023,Chaucer,36961.6,672.799999999996,36288.8,33894.0,0.0,3111.3,-135.9,-2884.1,0.0,126.4,-2893.7,-9798.6,24313.0,-239.6,0.0,24073.5,39922.3,505.9,229.3,51592.7,92250.2,-16844.8,-41425.8,,-92250.2,GBP,1000
1176,2024,Chaucer,34153.0,-931.0,33222.0,33220.0,0.0,3065.0,-721.0,-10312.0,0.0,-188.0,-11221.0,-8459.0,0.0,-178.0,16605.0,16427.0,36502.0,707.0,331.0,53207.0,90747.0,-16922.0,-51564.0,-3780.0,-90747.0,GBP,1000
1176,2025,Chaucer,33069.0,-1712.0,31357.0,31795.0,0.0,3323.0,-2320.0,-3456.0,0.0,417.0,-5359.0,-10766.0,0.0,-686.0,26285.0,25599.0,66908.0,1123.0,241.0,41162.0,109434.0,-15672.0,-54841.0,-5372.0,-109434.0,GBP,1000
1183,2015,Talbot,666797.385620915,130196.078431373,536601.307189542,544901.960784314,0.0,8039.21568627451,-321895.424836601,22352.9411764706,62941.1764705882,3660.13071895425,-232941.176470588,-234901.960784314,85098.0392156863,0.0,0.0,85163.3986928105,801020.408163265,197823.129251701,45986.3945578231,384829.931972789,1429659.86394558,-358095.238095238,-881564.62585034,,-1429659.86394558,GBP,1000
1183,2016,Talbot,719111.111111111,130222.222222222,588888.888888889,573629.62962963,0.0,13481.4814814815,-367925.925925926,-27629.6296296296,63111.1111111111,13185.1851851852,-319259.259259259,-231481.481481481,36370.3703703704,0.0,0.0,36370.3703703704,905161.290322581,246935.483870968,58870.9677419355,444758.064516129,1655725.80645161,-439032.258064516,-1054838.70967742,,-1655725.80645161,GBP,1000
1183,2017,Talbot,715193.798449612,154883.720930233,560310.07751938,576279.069767442,0.0,14263.5658914729,-411007.751937984,-170310.07751938,74031.007751938,114651.162790698,-392713.178294574,-248139.534883721,-50310.0775193799,-2558.13953488372,0.0,-52868.2170542636,804518.518518518,337481.481481482,58814.8148148148,411111.111111111,1611925.92592593,-395481.481481482,-1142518.51851852,,-1611925.92592593,GBP,1000
1183,2018,Talbot,712910.447761194,150447.76119403,562462.686567164,560000.0,0.0,13283.5820895522,-465223.880597015,-5223.88059701492,120447.76119403,-39179.1044776119,-389104.47761194,-234626.865671642,-50447.7611940298,2910.44776119403,0.0,-47537.3134328358,943700.787401575,313464.566929134,66220.4724409449,438582.677165354,1761968.50393701,-421102.362204724,-1201181.1023622,,-1761968.50393701,GBP,1000
1183,2019,Talbot,772343.75,152031.25,620312.5,603125.0,0.0,40390.625,-471953.125,9921.875,111406.25,12109.375,-338515.625,-232500.0,72500.0,-312.5,-2421.875,69765.625,989772.727272727,314545.454545455,53712.1212121212,458030.303030303,1816060.60606061,-414848.484848485,-1154090.90909091,,-1816060.60606061,GBP,1000
1183,2020,Talbot,825937.5,177968.75,647968.75,631406.25,0.0,26562.5,-464140.625,-142265.625,113437.5,22812.5,-470156.25,-224296.875,-36484.3749999999,937.5,2656.25,-32890.625,1035401.45985401,327445.255474453,56204.3795620438,448248.175182482,1867299.27007299,-425255.474452555,-1260000.0,,-1867299.27007299,GBP,1000
