year,syndicate,reporting_currency,reporting_unit,gross_written_premium,outward_reinsurance_premium,net_written_premium,net_earned_premium,other_technical_income,technical_investment_income,gross_claims_paid,gross_change_in_provision_for_claims,ri_share_claims_paid,ri_share_change_in_provision_for_claims,net_claims_incrred,operating_expenses,balance_on_technical_account,profit_loss_on_exchange,other_non_technical_income,result_before_tax,financial_investments,ri_assets,unearned_premium,other_assets,total_assets,provisions_for_unearned_premium,claims_outstanding,total_liabilities,other_liabilities,source
2015,1084,GBP,1000000,838.9,284.9,554.0,657.5,0.7,13.6,-469.1,5.3,153.2,-4.7,-315.3,-266.0,90.5000000000001,0.0,0.7,91.3,924.9,678.7,119.0,519.2,2241.8,-431.9,-1609.0,-2241.8,,AR 2015
2015,1110,GBP,1000,211509.8,32609.0,178900.8,170423.3,0.0,964.5,-54194.2,-64993.4,3276.8,7353.9,-108556.9,-65608.9,-2778.0,0.0,-467.3,-3245.3,172092.2,18650.2,23584.6,92149.7,306476.7,-106259.9,-172629.3,-306476.7,,AR 2015
2015,1176,GBP,1000,26610.0,0.0,26610.0,24113.9,0.0,427.9,-1315.6,469.5,0.0,0.0,-846.1,-6922.8,16772.9,0.0,306.6,17079.5,39793.3,0.0,0.0,38289.4,78082.7,-16104.7,-34661.8,-78082.7,,AR 2015
2015,1200,GBP,1000000,421.5,114.0,307.5,292.5,0.0,12.4,-176.8,-26.7,67.0,-14.5,-151.0,-117.5,36.4,0.0,-10.0,26.4,313.0,139.0,43.5,320.9,816.4,-185.2,-450.6,-816.4,,AR 2015
2015,1206,GBP,1000,154445.1,16462.6,137982.5,144828.9,0.0,2492.6,-118643.1,7704.0,15496.8,-4038.7,-99480.9,-64232.0,-16391.4,0.0,-1713.0,-18104.3,171147.8,46396.2,4535.2,132767.3,354846.5,-80022.5,-308104.1,-354846.5,,AR 2015
2015,1209,GBP,1000,317650.7,66182.7,251468.0,254329.9,0.0,1805.5,-189899.6,36966.3,44509.5,-21206.1,-129630.0,-114181.3,12324.1,0.0,2573.2,14897.3,613436.2,110229.4,31791.6,254709.0,1010166.2,-176653.6,-559601.0,-1010166.2,,AR 2015
2015,1218,GBP,1000,95784.4,19536.8,76247.6,74359.1,0.0,960.6,-58689.7,9061.3,10906.6,6643.0,-32078.8,-30285.0,12955.9,0.0,-28694.2,-15738.3,379813.9,129739.8,13017.5,181987.9,704559.1,-45017.6,-453851.5,-704559.1,,AR 2015
2015,1221,GBP,1000,272476.1,85963.2,186512.9,170081.3,449.6,2275.8,-119054.2,-4323.0,50971.3,-6881.5,-79287.4,-64223.4,29295.9,0.0,-3697.4,25598.4,303693.7,123665.0,49882.8,228516.2,705757.7,-141350.0,-342107.9,-705757.7,,AR 2015
2015,1225,GBP,1000000,333.0,68.9,264.1,286.9,7.2,5.5,-171.6,18.8,46.9,-8.4,-114.4,-115.1,70.1,0.0,-6.6,63.4,418.0,112.0,39.1,220.3,789.4,-197.7,-441.4,-789.4,,AR 2015
2015,1301,GBP,1000,169521.2,26785.8,142735.4,131722.9,0.0,27.2,-45371.8,-36305.2,2978.5,8652.3,-70046.3,-50930.5,10773.3,0.0,-3070.1,7703.2,80882.7,21067.4,9902.9,118010.5,229863.5,-78036.8,-136846.4,-229863.5,,AR 2015
2015,1414,GBP,1000,566891.9,198921.8,367970.1,384515.0,0.0,-788.7,-235202.2,1564.0,47047.3,-137.6,-186728.5,-158797.6,38200.2,0.0,-702.3,37497.8,383021.1,104223.6,24417.8,255411.7,767074.2,-230559.8,-459025.2,-767074.2,,AR 2015
2015,1458,GBP,1,244279251.0,64435434.0,179843817.0,145558025.0,0.0,1073530.0,-35791487.0,-61700862.0,645923.0,13757455.0,-83088971.0,-63594425.0,-51841.0,0.0,1816741.0,1764900.0,246969128.0,18778160.0,26203269.0,138369919.0,430320476.0,-120801739.0,-250456691.0,-430320476.0,,AR 2015
2015,1492,GBP,1000,3017.7,9450.9,-6433.2,-233.2,0.0,0.0,0.0,-131.6,0.0,0.0,-131.6,-1775.7,-2140.5,0.0,-6.6,-2147.1,0.0,0.0,9156.5,4344.2,13500.7,-2822.0,-131.6,-13500.7,,AR 2015
2015,1729,GBP,1000,66140.2,8687.3,57452.9,48358.3,0.0,25.9,-20180.2,-13032.7,155.6,2023.0,-31034.2,-22175.0,-4825.0,0.0,104.1,-4720.9,38109.4,2710.4,2567.0,31521.5,74908.3,-32010.1,-26777.8,-74908.3,,AR 2015
2015,1861,GBP,1000,221964.0,54215.8,167748.2,156734.8,0.0,581.8,-119536.9,28133.0,24014.4,-1159.2,-68548.7,-79875.2,8892.69999999998,0.0,2537.0,11429.7,119575.1,49328.7,31802.2,159265.3,359971.3,-131858.1,-205441.3,-359971.3,,AR 2015
2015,1880,GBP,1000,184008.4,28479.9,155528.5,150704.5,0.0,702.3,-43932.8,-28830.8,6942.5,-5027.7,-70848.7,-63503.3,17054.8,0.0,-1585.9,15468.8,130501.2,19718.7,12509.5,167884.8,330614.2,-93330.2,-167948.3,-330614.2,,AR 2015
2015,1882,GBP,1000,98274.7,10935.7,87339.0,81175.2,0.0,1202.0,-46486.0,-16249.6,3954.1,-11373.5,-70155.1,-29403.2,-17181.1,0.0,1455.5,-15725.7,103601.2,12311.3,2188.2,90736.5,208837.2,-60671.6,-146607.5,-208837.2,,AR 2015
2015,1884,GBP,1000,32637.0,2441.2,30195.8,8206.2,0.0,0.1,-902.7,-6120.6,0.0,302.7,-6720.6,-11035.1,-9549.4,0.0,-80.9,-9630.4,431.4,313.1,5.6,26914.2,27664.3,-22709.3,-6327.5,-27664.3,,AR 2015
2015,1897,GBP,1000,96526.0,7292.3,89233.7,85966.7,0.0,61.0,-54608.8,-3991.7,7726.8,-4078.3,-54952.0,-34245.7,-3170.0,0.0,-1234.8,-4404.8,38850.1,6447.8,1131.4,79850.4,126279.7,-53947.4,-77314.2,-126279.7,,AR 2015
2015,1910,GBP,1000,274656.1,77596.5,197059.6,110080.4,0.0,383.6,-17436.9,-15672.8,5327.9,-279.4,-28061.2,-50414.0,31988.8,0.0,-3658.2,28330.5,123778.1,26568.1,17720.9,188545.1,356612.2,-153479.0,-95412.8,-356612.2,,AR 2015
2015,1919,GBP,1000,264307.8,166946.2,97361.6,96965.2,0.0,3433.3,-192669.4,69454.6,117672.0,-48548.4,-54091.2,-21826.6,24480.7,0.0,-3793.4,20687.2,147379.9,234855.5,124743.4,268766.3,775745.1,-190455.1,-411418.5,-775745.1,,AR 2015
2015,1945,GBP,1000,83398.3,7172.60000000001,76225.7,67223.5,0.0,129.4,-32514.3,-13995.5,1635.3,1255.1,-43619.4,-27125.7,-3392.20000000001,0.0,-645.6,-4037.9,32944.9,2167.8,2820.3,58823.3,96756.3,-36681.6,-48509.8,-96756.3,,AR 2015
2015,1955,GBP,1000000,328.3,143.7,184.6,172.0,3.5,2.1,-137.7,-46.3,57.4,33.7,-93.0,-74.7,9.89999999999999,0.0,-2.2,7.8,280.0,192.4,73.3,319.6,865.3,-187.7,-476.2,-865.3,,AR 2015
2015,1991,GBP,1000,58992.1,6335.6,52656.5,37324.4,0.0,-3.9,-6817.0,-25323.9,0.0,3446.7,-28694.2,-26461.3,-17835.0,0.0,-300.1,-18135.1,4078.2,4055.3,1872.3,33151.4,43157.2,-34124.6,-36521.3,-43157.2,,AR 2015
2015,2001,GBP,1000000,1653.9,436.3,1217.6,1107.8,0.0,13.5,-792.2,91.9,185.0,-23.1,-538.4,-479.4,103.5,0.0,30.8,134.3,1673.1,422.9,183.0,1425.0,3704.0,-946.6,-1601.0,-3704.0,,AR 2015
2015,2007,GBP,1000000,789.3,103.4,685.9,635.4,0.0,4.8,-343.9,12.3,62.6,-39.2,-308.2,-255.0,76.9999999999999,0.0,-2.4,74.7,937.8,284.3,38.4,524.1,1784.6,-409.7,-1157.9,-1784.6,,AR 2015
2015,2008,GBP,1000,68387.8,9341.2,59046.6,59118.6,0.0,530.1,-63993.1,-13191.7,20228.3,12588.6,-44367.9,-10401.8,4879.0,0.0,-3016.6,1862.4,210301.8,98307.1,6654.0,61999.6,377262.5,-6654.0,-327927.2,-377262.5,,AR 2015
2015,2012,GBP,1000,153646.3,40225.9,113420.4,108892.3,0.0,-638.3,-90601.5,17364.9,29386.9,-15331.3,-59181.0,-48256.9,816.099999999999,0.0,2767.5,3583.6,162576.7,51292.9,18301.1,193823.6,425994.3,-81798.9,-223494.9,-425994.3,,AR 2015
2015,2014,GBP,1000,91916.0,18929.1,72986.9,63433.0,0.0,21.6,-8020.0,-33247.8,648.3,3705.3,-36914.2,-25937.3,603.100000000002,0.0,-177.4,425.7,47130.6,5291.4,5507.7,41656.1,99585.8,-32352.1,-53254.0,-99585.8,,AR 2015
2015,2015,GBP,1000,194179.8,35164.0,159015.8,149891.0,0.0,406.5,-60265.5,-48148.2,7562.3,10549.2,-90302.3,-67218.8,-7223.60000000001,0.0,-1308.4,-8532.1,90254.1,30667.2,24475.0,123321.0,268717.3,-112880.1,-153765.0,-268717.3,,AR 2015
2015,2088,GBP,1000,79398.5,18547.5,60851.0,48332.3,0.0,848.6,-31237.5,-4000.0,2795.9,520.2,-31921.4,-20545.0,-3285.5,0.0,-8.1,-3293.5,0.0,8764.1,7157.2,158020.6,173941.9,-39181.1,-81141.5,-173941.9,,AR 2015
2015,2121,GBP,1000,226542.3,47620.8,178921.5,177916.7,0.0,1080.8,-114938.6,12011.3,25986.6,-8252.5,-85193.2,-79754.9,14049.4,0.0,-387.4,13662.1,215135.6,46310.8,11074.5,113189.6,385710.5,-113186.8,-215546.4,-385710.5,,AR 2015
2015,218,GBP,1000,393675.1,78642.6,315032.5,305048.1,0.0,1714.5,-271061.4,6856.2,34624.3,57298.2,-172282.7,-131914.1,2565.79999999996,0.0,3436.8,6002.7,313408.8,241085.2,10916.5,191430.0,756840.5,-206853.7,-570849.6,-756840.5,,AR 2015
2015,2232,GBP,1000,144172.2,27973.6,116198.6,114190.1,0.0,-1989.7,-42890.7,-36726.2,5752.2,7327.8,-66536.9,-49645.8,-3982.29999999999,0.0,-2302.6,-6284.9,90645.5,29664.1,16631.3,79587.4,216528.3,-66939.4,-155052.9,-216528.3,,AR 2015
2015,2255,GBP,1000,-361.6,-25.9,-335.7,-335.7,945.5,695.4,-7804.7,23307.5,3912.4,-6719.9,12695.3,-856.6,13143.9,0.0,-395.4,12748.4,120427.0,154021.9,0.0,20399.5,294848.4,0.0,-245286.1,-294848.4,,AR 2015
2015,2468,GBP,1000,210413.4,22311.2,188102.2,166113.8,0.0,4146.6,-145449.2,-21141.5,39548.3,-15788.9,-142831.3,-86570.6,-59141.5,0.0,-1766.5,-60908.0,260506.8,88887.8,14656.7,197855.9,561907.2,-112705.4,-551198.2,-561907.2,,AR 2015
2015,2488,GBP,1000,377516.0,88464.3,289051.7,289379.6,0.0,2773.9,-212185.8,98781.6,62869.6,-71287.6,-121822.2,-113528.9,56802.4,0.0,-386.0,56416.4,1098970.1,283092.1,42725.9,276459.3,1701247.4,-184188.8,-916283.5,-1701247.4,,AR 2015
2015,2525,GBP,1000,44308.2,6723.0,37585.2,35925.3,0.0,470.1,-15585.9,2429.8,5006.5,-3448.2,-11597.9,-15604.3,9193.2,0.0,-447.8,8745.4,78875.1,25552.6,4896.8,28033.6,137358.1,-19005.5,-113479.7,-137358.1,,AR 2015
2015,2526,GBP,1000,28950.6,6561.4,22389.2,29771.1,0.0,616.9,-23896.3,-59173.4,3680.6,16989.0,-62400.0,-14295.2,-46307.2,0.0,-237.8,-46545.1,59045.0,56033.6,2660.6,37286.0,155025.2,-10199.4,-190834.3,-155025.2,,AR 2015
2015,2791,GBP,1000,149107.4,27766.5,121340.9,129596.0,0.0,2529.8,-81977.9,35669.0,13104.3,-3034.4,-36239.0,-52760.3,43126.5,0.0,-701.4,42425.1,442950.8,28335.1,10292.4,89960.2,571538.5,-48541.5,-321033.4,-571538.5,,AR 2015
2015,2999,GBP,1000,991391.1,247287.2,744103.9,679866.9,0.0,22922.1,-486749.7,25432.1,208647.3,-32742.3,-285412.6,-263825.1,153551.3,0.0,-4166.9,149384.5,1470026.5,441215.1,51750.7,830368.2,2793360.5,-511545.3,-1854463.5,-2793360.5,,AR 2015
2015,3000,GBP,1000,429029.0,69160.8,359868.2,349629.0,0.0,6970.4,-204535.7,-6830.7,37084.3,-12607.8,-186889.8,-156507.9,13201.7,0.0,0.0,13201.7,584553.3,103785.5,13451.1,192997.0,894786.9,-153104.4,-737921.8,-894786.9,,AR 2015
2015,3002,GBP,1000,26724.7,10332.9,16391.8,14127.3,0.0,9.1,-4697.4,-10692.7,0.0,7190.6,-8199.6,-4827.0,1109.8,0.0,70.9,1180.8,0.0,7469.0,3723.8,27905.5,39098.3,-10868.2,-14305.6,-39098.3,,AR 2015
2015,308,GBP,1000,27575.6,1850.8,25724.8,26365.7,0.0,14.8,-16054.9,-1964.0,0.0,813.4,-17205.5,-10964.7,-1789.7,0.0,-278.0,-2067.7,2694.7,1013.7,100.0,20756.3,24564.7,-12556.6,-10153.5,-24564.7,,AR 2015
2015,318,GBP,1000,136572.2,18248.9,118323.3,120915.6,224.7,827.2,-68656.7,18799.9,7480.3,-6291.4,-48668.0,-44778.4,28521.1,0.0,4571.3,33092.4,203120.2,8502.1,3109.4,50902.9,265634.6,-59235.3,-135945.9,-265634.6,,AR 2015
2015,3210,GBP,1000,370288.2,43019.9,327268.3,312046.2,0.0,2782.7,-162817.4,31125.9,16738.9,-23028.2,-137980.8,-120572.2,56275.9,0.0,3444.0,59719.9,541639.7,63863.6,13146.7,243566.2,862216.2,-231732.7,-524169.6,-862216.2,,AR 2015
2015,33,GBP,1000,846681.5,291386.1,555295.4,532755.4,0.0,10118.1,-326402.7,78522.0,93960.3,-44124.6,-198045.0,-207376.3,137452.2,0.0,17183.2,154635.5,1310020.6,272520.8,99839.5,410647.1,2093028.0,-392509.9,-1222159.0,-2093028.0,,AR 2015
2015,3334,GBP,1000,22787.8,3249.4,19538.4,23755.6,0.0,315.8,-18741.5,-6516.5,689.6,2781.1,-21787.3,-13345.5,-11061.4,0.0,372.3,-10689.0,4241.7,3854.8,934.0,28208.2,37238.7,-8656.9,-37455.5,-37238.7,,AR 2015
2015,3500,GBP,1000,-602.5,-602.5,0.0,0.0,0.0,-1782.6,-6077.7,13592.8,7860.3,-13592.8,1782.6,0.0,0.0,0.0,0.0,0.0,48502.0,101514.5,0.0,24484.3,174500.8,0.0,-101514.5,-174500.8,,AR 2015
2015,3622,GBP,1000,13570.3,688.9,12881.4,13095.8,0.0,9.8,-7548.6,19.8,43.3,-3.7,-7489.2,-5138.5,477.899999999999,0.0,-61.9,415.9,78.1,599.0,75.7,10075.6,10828.4,-6913.8,-5147.9,-10828.4,,AR 2015
2015,3624,GBP,1000,399560.6,81752.4,317808.2,281006.5,0.0,1709.4,-164109.9,-31953.7,44977.5,17500.9,-133585.2,-125637.8,23492.9,0.0,-2764.7,20728.3,231990.8,99307.2,69908.2,302862.5,704068.7,-284779.9,-393087.8,-704068.7,,AR 2015
2015,382,GBP,1000,267938.2,49079.4,218858.8,207088.0,0.0,1449.0,-138789.4,-7079.4,37493.9,-22094.5,-130469.4,-89802.2,-11734.6,0.0,-1388.0,-13122.7,163462.0,59922.4,23792.1,177080.4,424256.9,-146722.4,-249680.4,-424256.9,,AR 2015
2015,386,GBP,1000,335171.8,25138.5,310033.3,323567.1,0.0,11558.2,-260623.9,39473.2,187422.1,-140022.7,-173751.4,-114896.7,46477.2,0.0,-4243.0,42234.2,839339.9,126281.5,12033.8,418771.1,1396426.3,-180645.9,-1063737.5,-1396426.3,,AR 2015
2015,4000,GBP,1000,241764.3,50309.0,191455.3,195302.4,0.0,3380.8,-99496.4,-26441.4,30817.1,-8380.3,-103501.0,-80536.9,14645.3,0.0,-358.3,14287.0,227134.6,65747.0,26563.7,208840.5,528285.8,-155629.9,-323422.3,-528285.8,,AR 2015
2015,4020,GBP,1000,336858.3,78122.6,258735.7,263387.2,0.0,6607.4,-195670.5,44804.6,48524.0,-12597.9,-114939.7,-125060.1,29994.8,0.0,-3290.5,26704.3,471938.8,51063.2,40157.2,206128.1,769287.3,-198268.9,-448370.0,-769287.3,,AR 2015
2015,4141,GBP,1000,97895.1,18444.5,79450.6,74763.7,0.0,-654.5,-58511.0,13800.9,13375.2,-2779.5,-34114.3,-35004.4,4990.49999999999,0.0,-2059.9,2930.6,91682.7,63723.2,5662.6,38483.3,199551.8,-31503.2,-144552.8,-199551.8,,AR 2015
2015,435,GBP,1000,226813.6,36163.6,190650.0,181462.1,0.0,5151.9,-44578.3,-42565.1,22253.0,1079.5,-63810.9,-64351.6,58451.5,0.0,-4000.3,54451.1,620547.8,86901.9,2921.3,100370.6,810741.6,-85307.4,-651879.6,-810741.6,,AR 2015
2015,44,GBP,1000,16869.8,650.199999999999,16219.6,16219.6,0.0,1.5,-6368.9,-147.2,0.0,35.4,-6480.7,-7598.6,2141.8,0.0,119.9,2261.6,1543.7,397.3,0.0,5608.7,7549.7,0.0,-6860.4,-7549.7,,AR 2015
2015,4444,GBP,1000,827215.5,179091.0,648124.5,630597.9,0.0,2789.7,-380337.0,10820.2,90717.1,-16010.9,-294810.7,-288898.4,49678.4999999999,0.0,3344.6,53023.1,796158.5,257689.5,60727.4,510319.8,1624895.2,-369118.1,-912779.3,-1624895.2,,AR 2015
2015,457,GBP,1000,436113.9,118078.8,318035.1,344683.3,0.0,2616.9,-245965.7,-17336.2,57467.0,22788.6,-183046.3,-140237.4,24016.5,0.0,46.3,24062.7,549188.6,155831.3,30928.1,281316.4,1017264.4,-262379.9,-612805.0,-1017264.4,,AR 2015
2015,4711,GBP,1000,330517.0,135843.6,194673.4,189507.8,0.0,1623.2,-122743.2,-86308.6,25351.1,52696.1,-131004.7,-81389.1,-21262.8,0.0,0.0,-21262.9,209673.0,157081.8,74146.2,277250.3,718151.3,-195205.5,-437198.5,-718151.3,,AR 2015
2015,5000,GBP,1000,287115.2,26301.9,260813.3,277706.1,0.0,4154.5,-166507.3,33223.6,20202.9,-7031.2,-120111.9,-119164.1,42584.6,0.0,-1787.2,40797.4,379405.9,45655.2,6030.3,201735.5,632826.9,-157322.6,-341743.3,-632826.9,,AR 2015
2015,510,GBP,1000,1162882.3,250959.2,911923.1,900158.0,0.0,5824.8,-544692.2,38487.6,97357.7,-29241.7,-438088.6,-353675.7,114218.5,0.0,-2882.4,111336.2,833301.6,223824.0,99219.8,878962.2,2035307.6,-555001.6,-1070529.4,-2035307.6,,AR 2015
2015,5151,GBP,1000,175319.1,74099.4,101219.7,105752.4,0.0,1873.8,-79849.5,-6470.0,30318.0,-62.8,-56064.2,-52277.6,-715.599999999999,0.0,1223.9,508.2,140229.7,75966.2,14723.8,146683.6,377603.3,-94990.7,-244292.9,-377603.3,,AR 2015
