year,syndicate,reporting_currency,reporting_unit,syndicate_cob,gross_written_premium,gross_earned_premium,gross_claims_incurred,operating_expenses,ri_balance,source
2025,1084,USD,1,Accident and Health,116000.0,261000.0,-5693000.0,130000.0,-37000.0,2025 AR
2025,1110,GBP,1,Accident and Health,9000.0,9000.0,666000.0,284000.0,-650000.0,2025 AR
2025,1183,USD,1,Accident and Health,15832000.0,13907000.0,-6103000.0,-11720000.0,1627000.0,2025 AR
2025,1200,GBP,1,Accident and Health,9312000.0,9026000.0,-5588000.0,-2988000.0,-1243000.0,2025 AR
2025,1274,USD,1,Accident and Health,25330000.0,25474000.0,-11242000.0,-12089000.0,-1113000.0,2025 AR
2025,1414,USD,1,Accident and Health,20606000.0,20117000.0,-8254000.0,-7960000.0,-2009000.0,2025 AR
2025,1492,GBP,1,Accident and Health,6246000.0,5606000.0,-1917000.0,-1888000.0,-913000.0,2025 AR
2025,1618,USD,1,Accident and Health,3726000.0,5031000.0,494000.0,-1917000.0,-759000.0,2025 AR
2025,1686,USD,1,Accident and Health,77351000.0,70833000.0,-35383000.0,-31011000.0,-1470000.0,2025 AR
2025,1729,USD,1,Accident and Health,8976000.0,10344000.0,-787000.0,-4843000.0,-105000.0,2025 AR
2025,1796,USD,1,Accident and Health,0.0,0.0,0.0,0.0,0.0,2025 AR
2025,1856,USD,1,Accident and Health,1270000.0,1388000.0,-2059000.0,-446000.0,-182000.0,2025 AR
2025,1880,GBP,1,Accident and Health,711000.0,3413000.0,-1477000.0,-1807000.0,175000.0,2025 AR
2025,1884,GBP,1,Accident and Health,-53000.0,-53000.0,-639000.0,-133000.0,-16000.0,2025 AR
2025,1919,USD,1,Accident and Health,36345000.0,36527000.0,-18414000.0,-15185000.0,-509000.0,2025 AR
2025,1945,GBP,1,Accident and Health,4707000.0,4701000.0,-5477000.0,-1842000.0,-856000.0,2025 AR
2025,1955,GBP,1,Accident and Health,7130000.0,6652000.0,-4051000.0,-2317000.0,164000.0,2025 AR
2025,1967,USD,1,Accident and Health,0.0,0.0,-17000.0,-19000.0,0.0,2025 AR
2025,1971,USD,1,Accident and Health,0.0,0.0,0.0,0.0,23000.0,2025 AR
2025,1994,USD,1,Accident and Health,0.0,0.0,64000.0,-2000.0,50000.0,2025 AR
2025,2001,GBP,1,Accident and Health,51427000.0,49195000.0,-24012000.0,-20692000.0,-175000.0,2025 AR
2025,2003,GBP,1,Accident and Health,47445000.0,42717000.0,-16772000.0,-16782000.0,-3683000.0,2025 AR
2025,2008,GBP,1,Accident and Health,110000.0,170000.0,-891000.0,-470000.0,-76000.0,2025 AR
2025,2010,USD,1,Accident and Health,14752000.0,13501000.0,-6482000.0,-4785000.0,-328000.0,2025 AR
2025,2012,GBP,1,Accident and Health,21252000.0,19937000.0,-9868000.0,-8271000.0,-3090000.0,2025 AR
2025,2015,GBP,1,Accident and Health,918000.0,1036000.0,-221000.0,-1327000.0,-394000.0,2025 AR
2025,2050,USD,1,Accident and Health,325000.0,191000.0,-88000.0,-95000.0,-5000.0,2025 AR
2025,2121,GBP,1,Accident and Health,0.0,0.0,0.0,0.0,0.0,2025 AR
2025,218,GBP,1,Accident and Health,0.0,0.0,-6000.0,0.0,0.0,2025 AR
2025,2232,GBP,1,Accident and Health,303000.0,134000.0,102000.0,-59000.0,-1000.0,2025 AR
2025,2358,USD,1,Accident and Health,4953000.0,2836000.0,-1410000.0,-1307000.0,0.0,2025 AR
2025,2427,GBP,1,Accident and Health,383000.0,194000.0,-100000.0,-115000.0,-16000.0,2025 AR
2025,2488,GBP,1,Accident and Health,13000.0,13000.0,-115000.0,-13000.0,-66000.0,2025 AR
2025,2786,GBP,1,Accident and Health,19595000.0,18406000.0,-9253000.0,-6545000.0,-1031000.0,2025 AR
2025,2791,GBP,1,Accident and Health,5422000.0,5584000.0,-1131000.0,-2878000.0,-4000.0,2025 AR
2025,2880,USD,1,Accident and Health,0.0,0.0,0.0,0.0,0.0,2025 AR
2025,2987,USD,1,Accident and Health,29316000.0,32817000.0,-15388000.0,-14554000.0,-1957000.0,2025 AR
2025,2988,GBP,1,Accident and Health,757000.0,1180000.0,-388000.0,-436000.0,-449000.0,2025 AR
2025,2999,GBP,1,Accident and Health,3439000.0,7218000.0,-9240000.0,-2898000.0,680000.0,2025 AR
2025,3000,GBP,1,Accident and Health,0.0,0.0,0.0,0.0,0.0,2025 AR
2025,3010,USD,1,Accident and Health,18228000.0,17895000.0,-7350000.0,-4870000.0,-2935000.0,2025 AR
2025,318,GBP,1,Accident and Health,-273000.0,939000.0,-830000.0,-495000.0,0.0,2025 AR
2025,33,USD,1,Accident and Health,37073000.0,35335000.0,-16616000.0,-15418000.0,-2710000.0,2025 AR
2025,3456,USD,1,Accident and Health,414000.0,263000.0,-94000.0,-110000.0,-14000.0,2025 AR
2025,3500,USD,1,Accident and Health,186000.0,699000.0,-12204000.0,-1438000.0,2019000.0,2025 AR
2025,3623,USD,1,Accident and Health,11836000.0,32605000.0,-23389000.0,-12728000.0,-742000.0,2025 AR
2025,3624,USD,1,Accident and Health,0.0,0.0,1280000.0,-2000.0,-331000.0,2025 AR
2025,382,GBP,1,Accident and Health,147000.0,147000.0,555000.0,23000.0,-2421000.0,2025 AR
2025,3902,GBP,1,Accident and Health,7979000.0,7292000.0,-3389000.0,-3301000.0,-965000.0,2025 AR
2025,4000,USD,1,Accident and Health,98140000.0,91893000.0,-47886000.0,-39920000.0,-6261000.0,2025 AR
2025,4020,GBP,1,Accident and Health,60914000.0,41402000.0,-22290000.0,-18735000.0,-582000.0,2025 AR
2025,4141,USD,1,Accident and Health,37379000.0,48131000.0,-18007000.0,-24836000.0,185000.0,2025 AR
2025,4242,USD,1,Accident and Health,8163000.0,4990000.0,-2245000.0,-1401000.0,-317000.0,2025 AR
2025,435,USD,1,Accident and Health,637000.0,598000.0,1065000.0,-93000.0,1000.0,2025 AR
2025,4444,USD,1,Accident and Health,275097000.0,266746000.0,-144850000.0,-115523000.0,-11945000.0,2025 AR
2025,4472,GBP,1,Accident and Health,13692000.0,12324000.0,-3958000.0,-6478000.0,-1433000.0,2025 AR
2025,457,GBP,1,Accident and Health,612000.0,597000.0,-329000.0,-191000.0,-16000.0,2025 AR
2025,4747,GBP,1,Accident and Health,3866000.0,3544000.0,-2317000.0,-1880000.0,-130000.0,2025 AR
2025,5000,GBP,1,Accident and Health,9790000.0,9851000.0,-1702000.0,-1198000.0,-2538000.0,2025 AR
2025,510,GBP,1,Accident and Health,35554000.0,27496000.0,-11076000.0,-16395000.0,235000.0,2025 AR
2025,5886,GBP,1,Accident and Health,16364000.0,18110000.0,-10946000.0,-7162000.0,-829000.0,2025 AR
2025,609,GBP,1,Accident and Health,43288000.0,38532000.0,-13879000.0,-18787000.0,-2845000.0,2025 AR
2025,6131,GBP,1,Accident and Health,2000.0,2000.0,-125000.0,-2000.0,-4000.0,2025 AR
2025,727,GBP,1,Accident and Health,2078000.0,2078000.0,-1574000.0,-522000.0,-15000.0,2025 AR
2015,1084,GBP,1000000,Accident and health,0.4,0.4,-8.3,-0.2,0.1,2016 AR
2016,1084,GBP,1000000,Accident and health,7.8,4.9,-1.0,-1.8,-0.3,2016 AR
2017,1084,GBP,1000000,Accident and health,14.1,10.0,-4.5,-3.8,-3.3,2018 AR
2018,1084,GBP,1000000,Accident and health,24.8,21.1,-11.6,-9.5,0.1,2018 AR
2019,1084,USD,1000000,Accident and health,12.6,20.0,-11.2,-5.6,-2.7,2020 AR
2020,1084,USD,1000000,Accident and health,5.6,8.6,-7.1,-2.2,-1.3,2020 AR
2021,1084,USD,1000000,Accident and health,3.2,4.0,-1.5,-1.8,-1.2,2021 AR
2022,1084,USD,1000000,Accident and health,9.9,8.1,-7.1,-4.6,1.6,2022 AR
2023,1084,USD,1000000,Accident and health,0.9,6.0,-5.2,-2.9,-1.8,2023 AR
2024,1084,USD,1000,Accident and health,2114.0,3999.0,-1293.0,-405.0,-286.0,2024 AR
2024,1110,GBP,1000,Accident and health,42.0,42.0,-3218.0,-418.0,2784.0,2024 AR
2015,1183,USD,1000000,Accident and health,18.7,19.4,-12.5,-11.1,0.0,2016 AR
2016,1183,USD,1000000,Accident and health,17.3,18.1,-11.5,-9.6,-0.1,2016 AR
2017,1183,USD,1000000,Accident and health,14.0,16.7,-10.8,-9.5,0.1,2018 AR
2018,1183,USD,1000000,Accident and health,8.1,9.8,-4.3,-5.0,0.0,2018 AR
2019,1183,USD,1000000,Accident and health,5.5,5.2,-1.5,-3.0,-0.1,2020 AR
2020,1183,USD,1000000,Accident and health,7.5,7.1,-4.1,-3.9,-0.1,2020 AR
2021,1183,USD,1000000,Accident and health,7.1,7.1,-3.2,-4.0,0.0,2021 AR
2022,1183,USD,1000000,Accident and health,7.1,7.1,-2.8,-3.8,0.0,2022 AR
2023,1183,USD,1000000,Accident and health,8.7,7.8,-3.3,-6.2,0.4,2023 AR
2024,1183,USD,1000,Accident and health,11928.0,11228.0,-2872.0,-8560.0,772.0,2024 AR
2015,1200,GBP,1000000,Accident and health,18.1,16.2,-11.9,-5.1,-2.4,2016 AR
2016,1200,GBP,1000000,Accident and health,33.8,31.0,-20.8,-12.3,-1.2,2016 AR
2017,1200,GBP,1000000,Accident and health,39.7,38.9,-21.0,-13.7,-4.3,2018 AR
2018,1200,GBP,1000000,Accident and health,43.3,42.0,-20.9,-13.1,-5.5,2018 AR
2019,1200,GBP,1000000,Accident and health,29.8,38.5,-19.9,-13.3,-3.2,2020 AR
2020,1200,GBP,1000000,Accident and health,15.5,19.3,-18.3,-7.2,0.9,2020 AR
