currency,year,average_fx,year_end_fx,market_bulletin
EUR,2024,1.18,1.21,
EUR,2025,1.17,,
GBP,2015,1.0,1.0,
GBP,2016,1.0,1.0,
GBP,2017,1.0,1.0,
GBP,2018,1.0,1.0,
GBP,2019,1.0,1.0,
GBP,2020,1.0,1.0,
GBP,2021,1.0,1.0,
GBP,2022,1.0,1.0,
GBP,2023,1.0,1.0,
GBP,2024,1.0,1.0,
GBP,2025,1.0,,
USD,2015,1.53,1.47,Y5043
USD,2016,1.35,1.24,Y5053
USD,2017,1.29,1.35,Y5149
USD,2018,1.34,1.27,Y5228
USD,2019,1.28,1.32,Y5273
USD,2020,1.28,1.37,Y5322
USD,2021,1.38,1.35,Y5365
USD,2022,1.24,1.2,Y5393
USD,2023,1.24,1.27,Y5420
USD,2024,1.28,1.25,Y5440
USD,2025,1.32,,Y5477
