syndicate,year,managing_agent,gross_written_premium,outward_reinsurance_premium,net_written_premium,net_earned_premium,other_technical_income,technical_investment_income,gross_claims_paid,gross_change_in_provision_for_claims,ri_share_claims_paid,ri_share_change_in_provision_for_claims,net_claims_incrred,operating_expenses,balance_on_technical_account,profit_loss_on_exchange,other_non_technical_income,result_before_tax,financial_investments,ri_assets,unearned_premium,other_assets,total_assets,provisions_for_unearned_premium,claims_outstanding,other_liabilities,total_liabilities,currency,unit,net_loss_ratio,expense_ratio,combined_ratio,ri_cession_rate,net_retention_rate,technical_account_margin,pretax_margin,roa,ri_to_total_assets,reserve_ratio,gwp_size_bucket
1100,2024,Apollo,19098.522,0.0,19098.522,10892.579,0.0,0.0,0.0,-8673.63,0.0,0.0,-8673.63,-1119.782,1099.167,22.809,0.0,1121.976,0.0,0.0,0.0,18123.409,18123.409,-8104.471,-8566.473,-1452.465,-18123.409,GBP,1000,79.63,10.28,89.91,-0.0,100.0,10.09,10.3,6.19,0.0,78.65,Micro (<50m)
1084,2015,Chaucer,838870.863,-284885.919,553984.944,657539.717,713.98,13603.202,-469077.53,5260.555,153232.725,-4673.325,-315257.575,-265957.855,90641.469,0.0,661.743,91303.212,924882.599,678719.166,119019.412,519208.218,2241829.395,-431907.64,-1609015.287,-200906.468,-2241829.395,GBP,1000,47.95,40.45,88.39,33.96,66.04,13.78,13.89,4.07,30.28,244.7,Large (500m-1bn)
1110,2015,Coverys,211509.79,-32608.969,178900.821,170423.337,0.0,964.537,-54194.152,-64993.448,3276.79,7353.875,-108556.935,-65608.923,-2777.984,0.0,-467.286,-3245.27,172092.213,18650.198,23584.582,92149.686,306476.679,-106259.894,-172629.296,-27587.489,-306476.679,GBP,1000,63.7,38.5,102.2,15.42,84.58,-1.63,-1.9,-1.06,6.09,101.29,Mid (200-500m)
1176,2015,Chaucer,26609.995,0.0,26609.995,24113.857,0.0,427.883,-1315.631,469.537,0.0,0.0,-846.094,-6922.768,16772.878,0.0,306.636,17079.514,39793.317,0.0,0.0,38289.384,78082.701,-16104.747,-34661.776,-27316.178,-78082.701,GBP,1000,3.51,28.71,32.22,-0.0,100.0,69.56,70.83,21.87,0.0,143.74,Micro (<50m)
1200,2015,Westfield,421463.144,-113952.311,307510.833,292485.715,0.0,12381.638,-176848.438,-26704.627,67017.568,-14451.356,-150986.853,-117475.106,36405.394,0.0,-9958.777,26446.617,313007.734,139013.637,43479.261,320941.09,816441.722,-185165.058,-450603.766,-180672.898,-816441.722,GBP,1000,51.62,40.16,91.79,27.04,72.96,12.45,9.04,3.24,17.03,154.06,Mid (200-500m)
1206,2015,AmTrust,154445.149,-16462.67,137982.479,144828.941,0.0,2492.597,-118643.052,7704.019,15496.839,-4038.72,-99480.914,-64231.956,-16391.332,0.0,-1713.006,-18104.338,171147.806,46396.234,4535.241,132767.215,354846.496,-80022.511,-308104.055,33280.07,-354846.496,GBP,1000,68.69,44.35,113.04,10.66,89.34,-11.32,-12.5,-5.1,13.08,212.74,Small (50-200m)
1209,2015,AXA XL,317650.673,-66182.651,251468.022,254329.883,0.0,1805.457,-189899.639,36966.277,44509.482,-21206.138,-129630.018,-114181.297,12324.025,0.0,2573.246,14897.271,613436.237,110229.412,31791.626,254708.875,1010166.15,-176653.627,-559600.969,-273911.554,-1010166.15,GBP,1000,50.97,44.89,95.86,20.84,79.16,4.85,5.86,1.47,10.91,220.03,Mid (200-500m)
1218,2015,Newline,95784.395,-19536.791,76247.604,74359.112,0.0,960.606,-58689.718,9061.272,10906.645,6643.031,-32078.77,-30284.986,12955.962,0.0,-28694.213,-15738.251,379813.867,129739.844,13017.495,181987.875,704559.081,-45017.589,-453851.538,-205689.954,-704559.081,GBP,1000,43.14,40.73,83.87,20.4,79.6,17.42,-21.17,-2.23,18.41,610.35,Small (50-200m)
1221,2015,Hartford,272476.114,-85963.182,186512.932,170081.258,449.556,2275.795,-119054.238,-4323.049,50971.333,-6881.47,-79287.424,-64223.41,29295.775,0.0,-3697.3981,25598.3769,303693.744,123664.983,49882.808,228516.168,705757.703,-141349.97,-342107.941,-222299.792,-705757.703,GBP,1000,46.62,37.76,84.38,31.55,68.45,17.22,15.05,3.63,17.52,201.14,Mid (200-500m)
1225,2015,AEGIS,332956.385,-68833.258,264123.127,286851.134,7219.775,5503.229,-171640.061,18775.446,46880.1,-8441.419,-114425.934,-115068.897,70079.307,0.0,-6643.79,63435.517,418017.474,112016.062,39124.648,220289.396,789447.58,-197673.306,-441379.593,-150394.681,-789447.58,GBP,1000,39.89,40.11,80.0,20.67,79.33,24.43,22.11,8.04,14.19,153.87,Mid (200-500m)
