year,syndicate,managing_agent,syndicate_cob,harmonised_lob,aggregate_lob,gross_written_premium,gross_earned_premium,gross_incurred,operating_expenses,gross_uw_result,net_uw_result,unit,currency,gross_loss_ratio,gross_expense_ratio,gross_combined_ratio,net_uw_margin
2015,1084,Chaucer,Accident and health,Accident and health,Casualty,400.0,400.0,-8300.0,-200.0,-8100.0,-8000.0,1000,GBP,2075.0,50.0,2125.0,-2000.0
2015,1200,Argo,Accident and health,Accident and health,Casualty,18100.0,16200.0,-11900.0,-5100.0,-800.000000000001,-3200.0,1000,GBP,73.46,31.48,104.94,-19.75
2015,1206,AmTrust,Accident and health,Accident and health,Casualty,29930.0,29569.0,-16103.0,-990.0,12476.0,-1601.0,1000,GBP,54.46,3.35,57.81,-5.41
2015,1209,Catlin,Accident and health,Accident and health,Casualty,-24.0,-24.0,4236.0,8.0,4220.0,2628.0,1000,GBP,-17650.0,-33.33,-17683.33,-10950.0
2015,1301,StarStone,Accident and health,Accident and health,Casualty,5683.0,4022.0,-1903.0,-2453.0,-334.0,-1047.0,1000,GBP,47.31,60.99,108.3,-26.03
2015,1861,ANV,Accident and health,Accident and health,Casualty,18389.0,17993.0,-7958.0,-8938.0,1097.0,-14.0,1000,GBP,44.23,49.67,93.9,-0.08
2015,1880,TMK,Accident and health,Accident and health,Casualty,1222.0,2446.0,-1367.0,-1131.0,-52.0,-200.0,1000,GBP,55.89,46.24,102.13,-8.18
2015,1882,Chubb,Accident and health,Accident and health,Casualty,-75.0,250.0,-125.0,-58.0,67.0,67.0,1000,GBP,50.0,23.2,73.2,26.8
2015,1945,Sirius,Accident and health,Accident and health,Casualty,17314.0,15023.0,-13133.0,-5932.0,-4042.0,-4511.0,1000,GBP,87.42,39.49,126.91,-30.03
2015,1955,Barbican,Accident and health,Accident and health,Casualty,200.0,100.0,-100.0,0.0,0.0,0.0,1000,GBP,100.0,0.0,100.0,0.0
2015,2001,MS Amlin,Accident and health,Accident and health,Casualty,23400.0,23000.0,-5800.0,-6100.0,11100.0,4300.0,1000,GBP,25.22,26.52,51.74,18.7
2015,2007,Novae,Accident and health,Accident and health,Casualty,6100.0,4600.0,-2400.0,-1900.0,300.0,-500.0,1000,GBP,52.17,41.3,93.47,-10.87
2015,2012,Arch,Accident and health,Accident and health,Casualty,23780.0,21528.0,-10114.0,-9920.0,1494.0,77.0,1000,GBP,46.98,46.08,93.06,0.36
2015,2014,Pembroke,Accident and health,Accident and health,Casualty,258.0,338.0,-138.0,-105.0,95.0,113.0,1000,GBP,40.83,31.07,71.9,33.43
2015,2015,Channel,Accident and health,Accident and health,Casualty,13321.0,12312.0,-7361.0,-6009.0,-1058.0,-1953.0,1000,GBP,59.79,48.81,108.6,-15.86
2015,2088,Catlin,Accident and health,Accident and health,Casualty,18944.0,15790.0,-11246.0,-3780.0,764.0,-688.0,1000,GBP,71.22,23.94,95.16,-4.36
2015,2121,Argenta,Accident and health,Accident and health,Casualty,2797.0,2283.0,-1502.0,-1035.0,-254.0,-217.0,1000,GBP,65.79,45.34,111.13,-9.51
2015,218,ERS,Accident and health,Accident and health,Casualty,13.0,13.0,165.0,7.0,185.0,399.0,1000,GBP,1269.23,53.85,1323.08,3069.23
2015,2468,Marketform,Accident and health,Accident and health,Casualty,12211.0,13754.0,-19191.0,-5686.0,-11123.0,-10319.0,1000,GBP,139.53,41.34,180.87,-75.03
2015,2488,Ace,Accident and health,Accident and health,Casualty,4980.0,4716.0,-2718.0,-3847.0,-1849.0,-1426.0,1000,GBP,57.63,81.57,139.2,-30.24
