year,syndicates,gross_written_premium,net_written_premium,net_earned_premium,net_claims_incurred,operating_expenses,balance_tech_account,result_before_tax,total_assets,claims_outstanding,market_loss_ratio,market_expense_ratio,market_combined_ratio,market_pretax_margin
2015,101,27537775.16177,21083838.58536,20549681.22413,-10307152.32452,-8534428.85283,2021238.3948,1911643.01592,64507691.12383,-39164170.72489,50.16,41.53,91.69,9.3
2016,100,30471266.09606,23170954.10088,22489955.65591,-12943331.96182,-9453319.46527,792635.8313000001,1268498.55211,76759088.08059,-46999315.94068,57.55,42.03,99.59,5.64
2017,97,34140520.67514,24839911.53339,24145389.1024,-17999119.29654,-9991209.25383,-3150953.19869,-2909859.08484,79864456.23176,-53391442.76663,74.54,41.38,115.92,-12.05
2018,103,37055973.32853,26585189.15988,25834738.54946,-17255688.53719,-10134408.45128,-1180040.75448,-1344901.97948,87966632.99394,-60031538.07041,66.79,39.23,106.02,-5.21
2019,96,37195434.903909996,26339466.176745,25866458.5648864,-16706872.6979534,-10105527.2880897,418280.6946433,712834.6971833,88617552.16385,-59036875.73377,64.59,39.07,103.66,2.76
2020,91,35987568.8688091,25791280.0219502,25540400.636643298,-18728692.0056013,-9848797.3526916,-2029214.0069944,-1835939.9171977001,89649553.0223914,-61076065.1140925,73.33,38.56,111.89,-7.19
2021,94,40646174.272544,29597742.0021673,27432155.3719461,-15934901.9404438,-9749254.1118214,1845710.5152348,1916527.2938399,101908910.6779712,-65708763.662310004,58.09,35.54,93.63,6.99
2022,97,48593136.891542,35439309.528954,33146758.426564,-19400873.876763,-11584124.9097696,771077.2022369999,526920.56201,124731892.9376944,-80358968.30001,58.53,34.95,93.48,1.59
2023,97,54486531.0842398,40364364.9826933,37869477.918165,-19115831.7879452,-13261494.7864427,8239776.468092,8443714.0799131,129067955.3490845,-77599191.84929,50.48,35.02,85.5,22.3
2024,103,56063749.6048009,42537469.5158065,40403393.0842599,-21178053.7913475,-14487713.100608,7362649.7253932,7350156.3748679,140785288.7748002,-83412204.4537537,52.42,35.86,88.27,18.19
