managing_agent,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ANV,464015.8,,,,,,,,,,
AWAC,144172.2,163825.4,204012.4,225161.6,219196.4,239147.0,252288.1,344264.7,416751.4,472464.0,520390.0
AXA XL,,,,,,,1389416.0999999999,1257883.1,1350915.2,1413784.0,1392826.0
AXIS,,,1360102.195348837,1331054.641791045,892637.109375,981368.90625,,,,,
Ace,377516.0,,,,,,,,,,
Advent,157385.620915033,190296.296296296,210387.596899225,,,,,,,,
Aegis,333000.0,376700.0,462200.0,555200.0,653200.0,707900.0,773700.0,907900.0,1039800.0,1008353.125,956572.592592592
AmTrust,200265.5,811474.3,745661.5,633713.2,661367.4,526426.5,,,,,
Amlin,,378234.9,,,,,,,,,
Antares,261490.130718954,338207.62962963,418297.674418605,437592.462686567,472688.4375,445484.6875,394187.753623188,445140.322580645,480037.338709677,467039.0625,505197.777777778
Apollo,188362.091503268,214668.962962963,234129.76744186,356493.4328358206,528044.765625,566067.109375,789813.2246376815,710110.967741936,820368.3064516119,1044598.2653601695,1361157.2624798708
Apollo EnvelopRisk,,,,,,,,,,32591.40625,55671.1111111111
Arch,153646.3,179030.0,199895.6,232004.0,223898.8,293918.3,710727.0,969826.8,1145079.3,1381384.0,1428679.0
Argenta,226542.3,280714.6,346019.8,429360.4,508928.8,730758.3999999999,788342.3,922830.5,987371.7000000001,981949.0,923475.0
Argo,421500.0,759778.6,995000.0,1035900.0,927700.0,856200.0,,,,,
ArgoGlobal,,,,,,,683900.0,,,,
Ariel Re,,,,,,,380200.0,664100.0,814000.0,1155910.9375,951631.8518518517
Ark,380716.89999999997,311910.7,353553.4,366735.19999999995,366827.5,466270.4,508270.4,665082.5,827785.7999999999,967605.0,1030456.0
Ascot,566891.9,573475.2,680663.2,679717.4,689430.5,824294.9,1044205.9,1350245.9,1440915.5,1517303.125,1341170.37037037
Aspen,330517.0,404459.3,396588.2,387768.0,379371.0,349387.8,494152.1,838598.6,806288.1,1012862.0,1003649.0
Asta,785202.264705882,832262.6222222226,1044297.6883720923,1533745.0119402995,1022334.96875,964847.325,2225.21739130435,,,2877196.8125,3344543.0000000014
Asta Agora,,,,,,,142806.9,,,,
Asta Beat,,,,,,,227588.260869565,278189.838709677,353492.419354839,,
Asta Beat SPA,,,,,,,,52755.0806451613,69496.2903225806,,
Asta CFC,,,,,,,55086.5942028986,179460.403225806,236160.403225806,,
Asta Carbon,,,,,,,20789.3,44780.6,92086.8,,
Asta Dale,,,,,,,198625.4,,,,
Asta Everest,,,,,,,190429.3,191600.8,250900.5,,
Asta Flux,,,,,,,,,74471.2903225806,,
Asta Greenlight Re,,,,,,,,5021.85483870968,13496.0483870968,,
Asta HRP,,,,,,,,78875.7258064516,63622.0967741935,,
Asta Ive,,,,,,,113386.1,119131.3,133058.6,,
Asta MCI,,,,,,,,22429.9,48614.3,,
Asta MIC,,,,,,,,6059.35483870968,-3851.37096774194,,
Asta MPS,,,,,,,14821.7,20794.1,20599.1,,
Asta Mosaic,,,,,,,81093.6956521739,178147.5,233350.967741935,,
Asta Parsyl,,,,,,,,1618.54838709677,11974.6774193548,,
Asta Sukoon,,,,,,,,14819.2741935484,32427.8225806452,,
Asta Trium,,,,,,,,,8757.5,,
Asta Verto,,,,,,,80852.7536231884,,,,
Asta Victor,,,,,,,64650.9420289855,,,,
Asta Volante,,,,,,,,51641.6,141936.2,,
Asta Wakam,,,,,,,,,21797.7,,
