year,syndicate,managing_agent,gross_written_premium,net_earned_premium,result_before_tax,pretax_margin,net_loss_ratio,expense_ratio,combined_ratio,percentile_rank,percentile_bucket
2015,1492,Probitas,3017.696,-233.236,-2147.148,920.59,-56.43,-761.34,-817.77,99.0,Top 10%
2015,6123,Asta,4325.51881,-246.87274,-1181.46919,478.57,-32.77,-350.71,-383.48,98.0,Top 10%
2015,6104,Hiscox,32864.512,24980.472,19140.657,76.62,-8.57,45.24,36.67,97.0,Top 10%
2015,6103,MAP,4722.787,5074.953,3749.859,73.89,12.88,17.8,30.68,96.0,Top 10%
2015,1176,Chaucer,26609.995,24113.857,17079.514,70.83,3.51,28.71,32.22,95.0,Top 10%
2015,557,Tokio Marine Kiln,17365.893,15796.472,9868.327,62.47,10.19,30.67,40.87,94.1,Top 10%
2015,2357,Asta,46634.542,19744.972,10881.774,55.11,0.06,45.15,45.2,93.1,Top 10%
2015,2791,MAP,149107.434,129595.994,42425.13,32.74,27.96,40.71,68.67,92.1,Top 10%
2015,2010,Lancashire,197169.033,158197.414,50870.121,32.16,29.12,37.76,66.88,91.1,Top 10%
2015,435,Faraday,226813.588,181462.071,54451.132,30.01,35.16,35.46,70.63,90.1,Top 10%
2015,4242,Asta (Beat),110783.74865,65933.88569,19348.76517,29.35,17.81,52.78,70.59,89.1,P75-P90
2015,33,Hiscox,846681.506,532755.404,154635.462,29.03,37.17,38.93,76.1,88.1,P75-P90
2015,318,Cincinnati Global,136572.15183,120915.58546,33092.36001,27.37,40.25,37.03,77.28,87.1,P75-P90
2015,1910,Ariel Re,274656.059,110080.386,28330.531,25.74,25.49,45.8,71.29,86.1,P75-P90
2015,2525,Asta (Ive),44308.167,35925.345,8745.447,24.34,32.28,43.44,75.72,85.1,P75-P90
2015,1225,AEGIS,332956.385,286851.134,63435.517,22.11,39.89,40.11,80.0,84.2,P75-P90
2015,2999,QBE,991391.087,679866.913,149384.49,21.97,41.98,38.81,80.79,83.2,P75-P90
2015,6107,Beazley,30786.20701,25422.84743,5461.99047,21.48,49.84,28.23,78.07,82.2,P75-P90
2015,1919,Starr,264307.832,96965.187,20687.216,21.33,55.78,22.51,78.29,81.2,P75-P90
2015,6117,Ariel Re,24237.235,24669.743,4818.907,19.53,37.49,41.51,79.0,80.2,P75-P90
