Synd,Year,Currency,Unit,Investment Return,Financial Investment_Cost,Financial Investment_FairValue,Asset Return,link
2999,2025,GBP,1000," 154,987 "," 2,793,159 "," 2,776,811 ", 0.05549 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/3eb033d6-76d7-480f-97a9-78d7ac3599a4/2999_Accounts_2025Q4_20260220_142732.html
2999,2024,GBP,1000," 101,197 "," 2,684,971 "," 2,667,247 ", 0.03769 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/3eb033d6-76d7-480f-97a9-78d7ac3599a4/2999_Accounts_2025Q4_20260220_142732.html
4444,2025,USD,1000," 144,767 "," 2,976,300 ",, 0.04864 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/e5a5c9ee-7f74-460c-8054-1e3fc52338c8/4444_Accounts_2025Q4_20260220_171804.html
4444,2024,USD,1000," 119,747 "," 2,424,111 ",, 0.04940 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/e5a5c9ee-7f74-460c-8054-1e3fc52338c8/4444_Accounts_2025Q4_20260220_171804.html
2623,2025,USD,1000," 269,707 "," 4,477,859 "," 4,666,986 ", 0.06023 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/05e38ee5-acdb-452f-8f69-cb6d807a9170/2623_Accounts_2025Q4_20260220_190842.html
2623,2024,USD,1000," 291,468 "," 5,340,707 "," 5,450,426 ", 0.05457 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/05e38ee5-acdb-452f-8f69-cb6d807a9170/2623_Accounts_2025Q4_20260220_190842.html
2987,2025,USD,1000," 248,354 "," 3,279,163 "," 3,448,139 ", 0.07574 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/da6bcdca-f2e0-4bda-94c7-7b2dc237e0b3/2987_Accounts_2025Q4_20260220_164818.html
2987,2024,USD,1000," 138,777 "," 3,134,957 "," 3,171,252 ", 0.04427 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/da6bcdca-f2e0-4bda-94c7-7b2dc237e0b3/2987_Accounts_2025Q4_20260220_164818.html
1084,2025,USD,1000," 158,892 "," 2,799,824 "," 2,833,102 ", 0.05675 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/c0a2bec0-ff93-40df-92ce-ab179bf6ea64/1084_Accounts_2025Q4_20260220_140243.html
1084,2024,USD,1000," 102,456 "," 2,561,302 "," 2,484,831 ", 0.04000 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/c0a2bec0-ff93-40df-92ce-ab179bf6ea64/1084_Accounts_2025Q4_20260220_140243.html
33,2025,USD,1000," 157,712 "," 2,908,697 "," 3,086,636 ", 0.05422 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/a1c52056-3de9-4d1c-9e61-ed3137547837/0033_Accounts_2025Q4_20260220_150243.html
33,2024,USD,1000," 127,968 "," 2,687,917 "," 2,701,400 ", 0.04761 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/a1c52056-3de9-4d1c-9e61-ed3137547837/0033_Accounts_2025Q4_20260220_150243.html
510,2025,GBP,1000," 92,571 "," 1,555,477 "," 1,585,785 ", 0.05951 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/e2589d8b-a282-405c-b20a-e47fcd979a37/0510_Accounts_2025Q4_20260220_093951.html
510,2024,GBP,1000," 68,445 "," 1,485,264 "," 1,506,088 ", 0.04608 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/e2589d8b-a282-405c-b20a-e47fcd979a37/0510_Accounts_2025Q4_20260220_093951.html
2001,2025,GBP,1000," 73,518 "," 2,105,758 "," 2,187,378 ", 0.03491 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/e31c3e0a-7f3e-4838-b541-4f67ee924252/2001_Accounts_2025Q4_20260219_142044.html
2001,2024,GBP,1000," 40,783 "," 1,718,950 "," 1,798,388 ", 0.02373 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/e31c3e0a-7f3e-4838-b541-4f67ee924252/2001_Accounts_2025Q4_20260219_142044.html
4472,2025,GBP,1000," 188,042 "," 3,083,742 "," 3,105,644 ", 0.06098 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/a79e0c90-0bb2-4af3-beea-a737a4af3eda/4472_Accounts_2025Q4_20260219_223448.html
