Synd,Year,Currency,Unit,Investment Return,Financial Investment_Cost,Financial Investment_FairValue,Asset Return,link,fx_rate,fx_note,Investment Return_gbpk,Financial Investment_Cost_gbpk,Financial Investment_FairValue_gbpk
2999,2025,GBP,1000,154987,2793159,2776811.0,0.05549,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/3eb033d6-76d7-480f-97a9-78d7ac3599a4/2999_Accounts_2025Q4_20260220_142732.html,1.0,exact,154987.0,2793159.0,2776811.0
2999,2024,GBP,1000,101197,2684971,2667247.0,0.03769,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/3eb033d6-76d7-480f-97a9-78d7ac3599a4/2999_Accounts_2025Q4_20260220_142732.html,1.0,exact,101197.0,2684971.0,2667247.0
4444,2025,USD,1000,144767,2976300,,0.04864,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/e5a5c9ee-7f74-460c-8054-1e3fc52338c8/4444_Accounts_2025Q4_20260220_171804.html,1.28,fallback_from_2024,113099.219,2325234.375,
4444,2024,USD,1000,119747,2424111,,0.0494,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/e5a5c9ee-7f74-460c-8054-1e3fc52338c8/4444_Accounts_2025Q4_20260220_171804.html,1.28,exact,93552.344,1893836.719,
2623,2025,USD,1000,269707,4477859,4666986.0,0.06023,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/05e38ee5-acdb-452f-8f69-cb6d807a9170/2623_Accounts_2025Q4_20260220_190842.html,1.28,fallback_from_2024,210708.594,3498327.344,3646082.812
2623,2024,USD,1000,291468,5340707,5450426.0,0.05457,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/05e38ee5-acdb-452f-8f69-cb6d807a9170/2623_Accounts_2025Q4_20260220_190842.html,1.28,exact,227709.375,4172427.344,4258145.312
2987,2025,USD,1000,248354,3279163,3448139.0,0.07574,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/da6bcdca-f2e0-4bda-94c7-7b2dc237e0b3/2987_Accounts_2025Q4_20260220_164818.html,1.28,fallback_from_2024,194026.562,2561846.094,2693858.594
2987,2024,USD,1000,138777,3134957,3171252.0,0.04427,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/da6bcdca-f2e0-4bda-94c7-7b2dc237e0b3/2987_Accounts_2025Q4_20260220_164818.html,1.28,exact,108419.531,2449185.156,2477540.625
1084,2025,USD,1000,158892,2799824,2833102.0,0.05675,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/c0a2bec0-ff93-40df-92ce-ab179bf6ea64/1084_Accounts_2025Q4_20260220_140243.html,1.28,fallback_from_2024,124134.375,2187362.5,2213360.938
1084,2024,USD,1000,102456,2561302,2484831.0,0.04,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/c0a2bec0-ff93-40df-92ce-ab179bf6ea64/1084_Accounts_2025Q4_20260220_140243.html,1.28,exact,80043.75,2001017.188,1941274.219
